Identifier,StructureData,,
Entry ID,Deposition Date,Refinement Resolution (Å),
"3Q1S","2010-12-17","2.15"
"3QG6","2011-01-24","2.5"
"3QJJ","2011-01-29","2.8049"
"3QJL","2011-01-30","2.7009"
"3QJP","2011-01-30","3.2986"
"3QSK","2011-02-21","1.75"
"3R8B","2011-03-23","2.95"
"3RAJ","2011-03-28","3.044"
"3RN2","2011-04-21","2.55"
"3RN5","2011-04-21","2.5"
"3S35","2011-05-17","2.2"
"3S36","2011-05-17","3.2"
"3S37","2011-05-17","2.7"
"3SE3","2011-06-10","4.0001"
"3SE4","2011-06-10","3.5001"
"3SQO","2011-07-05","2.7"
"3TBS","2011-08-08","2.49"
"3TBT","2011-08-08","2.3"
"3TBV","2011-08-08","2.1"
"3TBW","2011-08-08","2.15"
"3TBY","2011-08-08","2.5"
"3UX9","2011-12-04","2.8"
"3VW3","2012-07-30","2.5"
"3WFB","2013-07-18","2.7"
"3WFC","2013-07-18","2.5"
"3WFD","2013-07-18","2.3"
"3WFE","2013-07-18","2.49"
"3WLW","2013-11-15","3.088"
"3WSQ","2014-03-20","3.5"
"3X3F","2015-01-20","2.1"
"3ZKM","2013-01-23","1.85"
"3ZKN","2013-01-23","2"
"3ZKQ","2013-01-24","1.51"
"3ZKS","2013-01-24","2.11"
"3ZLQ","2013-02-04","2.1"
"3ZO0","2013-02-19","1.99"
"4ADF","2011-12-23","4.4"
"4ADQ","2012-01-02","4.5"
"4AEI","2012-01-10","2.3"
"4AG4","2012-01-24","2.8"
"4AZ8","2012-06-24","2.65"
"4BEL","2013-03-11","1.85"
"4BFB","2013-03-18","2.21"
"4C0U","2013-08-08","10"
"4C0Y","2013-08-08","16"
"4C10","2013-08-08","13"
"4C56","2013-09-10","2.9"
"4CKD","2014-01-03","13"
"4CMH","2014-01-15","1.53"
"4D9Q","2012-01-11","2.28"
"4D9R","2012-01-11","2.42"
"4DKE","2012-02-03","3"
"4DKF","2012-02-03","2.61"
"4DW2","2012-02-24","2.97"
"4E5X","2012-03-14","1.95"
"4EEF","2012-03-28","2.704"
"4EIG","2012-04-05","2.5"
"4EIZ","2012-04-06","2.2"
"4EJ1","2012-04-06","1.75"
"4F00","2012-05-03","1.95"
"4FQB","2012-06-25","2.69"
"4GRG","2012-08-24","4.24"
"4I0C","2012-11-16","1.95"
"4I13","2012-11-19","1.6"
"4I1N","2012-11-21","1.888"
"4I77","2012-11-30","1.9"
"4JN2","2013-03-14","1.71"
"4K3H","2013-04-10","2.45"
"4KRL","2013-05-16","2.849"
"4KRM","2013-05-16","2.655"
"4KRO","2013-05-16","3.054"
"4KRP","2013-05-16","2.823"
"4KUC","2013-05-21","2.787"
"4KZD","2013-05-29","2.186"
