complex_name,protein_path,ligand_description,protein_sequence
5u82_2_ZN0_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5u82_2_ZN0_0_holo_aligned_predicted_protein.pdb,CC(=O)[O-].CC[SnH](CC)CC.[Br-].[Br-],
4zav_1_4LS_8,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zav_1_4LS_8_holo_aligned_predicted_protein.pdb,CC(C)=CCN1c2cc(C)c(C)cc2N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2[nH]c(=O)[nH]c(=O)c21.N#C[S-].N#C[S-].N#C[S-].N#C[S-].O=P([O-])([O-])[O-].[NaH],
3nvv_1_MTE_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3nvv_1_MTE_1_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)O)O[C@H]1N2.Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)O)O[C@H]1N2.O=[Mo](=O)S.O=[Mo](=O)S.O[AsH]O.O[AsH]O.S1[Fe]2S[Fe]12.S1[Fe]2S[Fe]12.S1[Fe]2S[Fe]12.S1[Fe]2S[Fe]12,
6n19_2_K8V_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6n19_2_K8V_0_holo_aligned_predicted_protein.pdb,O=C(O)CCCC(=O)Nc1ccc(C(=O)O)c(C(=O)O)c1.OCCO,
4rpj_1_UDP_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rpj_1_UDP_0_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
4zqx_1_ATP_2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zqx_1_ATP_2_holo_aligned_predicted_protein.pdb,C=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Mg+2],
3he3_5_UDP_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3he3_5_UDP_0_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
4kgx_1_CTP_5,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4kgx_1_CTP_5_holo_aligned_predicted_protein.pdb,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.O=C(O)C[C@H](NC(=O)CP(=O)(O)O)C(=O)O.O=C(O)C[C@H](NC(=O)CP(=O)(O)O)C(=O)O.[Zn+2].[Zn+2],
6jls_1_FMN_6,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6jls_1_FMN_6_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,
1sij_1_PCD_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1sij_1_PCD_0_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@H]4NC5NC(N)NC(O)C5N[C@H]4[C@@H]4S[Mo](O)(O)SC43)[C@@H](O)[C@H]2O)C(O)N1.S1[Fe]2S[Fe]12.S1[Fe]2S[Fe]12.[Cl-].[Cl-].[Cl-].[Mg+2].[Mg+2].[O-][As]([O-])[O-],
