complex_name,protein_path,ligand_description,protein_sequence
1MMV_3AR,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1MMV_3AR_holo_aligned_predicted_protein.pdb,CC(=O)[O-].CC(=O)[O-].CCC1C(C)C2C[C@@H]3[C@H](CC)C(C)[C@@H]4C[C@@H]5[C@@H](C)[C@H](CCC(O)O)C6C[C@@H]7C(CCC(O)O)[C@@H](C)[C@@H]8C[C@H]1N2[Fe@SP2](N65)(N34)N78.CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O.CC[C@@H]1C(C)[C@H]2C[C@@H]3[C@H](CC)C(C)[C@@H]4C[C@@H]5C(C)[C@H](CCC(O)O)C6C[C@@H]7C(CCC(O)O)[C@@H](C)C8C[C@H]1N2[Fe@SP1](N87)(N65)N34.C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.[Zn+2],
1L2S_STC,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1L2S_STC_holo_aligned_predicted_protein.pdb,O=C(O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1,
1N46_PFA,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,
1Y6B_AAX,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Y6B_AAX_holo_aligned_predicted_protein.pdb,COc1ccc(S(=O)(=O)NCC2CC2)cc1Nc1ncc(-c2cccc(-c3cccnc3)c2)o1,
1YWR_LI9,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YWR_LI9_holo_aligned_predicted_protein.pdb,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1,
1YV3_BIT,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YV3_BIT_holo_aligned_predicted_protein.pdb,Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.O=[V]([O-])([O-])[O-].OCCO.[Mg+2].[Mg+2],
1R9O_FLP,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R9O_FLP_holo_aligned_predicted_protein.pdb,CCC1C(C)[C@H]2C[C@H]3C(C)C(CCC(O)O)[C@H]4C[C@H]5[C@H](CCC(O)O)[C@@H](C)[C@@H]6C[C@H]7C(CC)C(C)[C@H]8CC1N2[Fe@SP3](N43)(N87)N65.C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1.OCC(O)CO,
1IG3_VIB,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1IG3_VIB_holo_aligned_predicted_protein.pdb,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-],
1R58_AO5,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R58_AO5_holo_aligned_predicted_protein.pdb,CC(C)SCC[C@@H](N)[C@H](O)C(=O)NNC(=O)c1cccc(Cl)c1.[Mn+2].[Mn+2],
1YGC_905,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YGC_905_holo_aligned_predicted_protein.pdb,CCOc1cc(OCC)c(F)c([C@@H](Nc2ccc(C(=N)N)c(O)c2)C(=O)NS(=O)(=O)c2cccc(N)c2)c1.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Ca+2].[Ca+2],
1GPK_HUP,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GPK_HUP_holo_aligned_predicted_protein.pdb,C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2.CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O.CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O.CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O.CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,
1HNN_SKF,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HNN_SKF_holo_aligned_predicted_protein.pdb,NS(=O)(=O)c1ccc2c(c1)CNCC2.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,
1K3U_IAD,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1K3U_IAD_holo_aligned_predicted_protein.pdb,CC1NC[C@@H](CO[PH](O)(O)O)C(C)C1O.O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O.[Na+],
1Q1G_MTI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Q1G_MTI_holo_aligned_predicted_protein.pdb,CC(C)O.CC(C)O.CC(C)O.CC(C)O.CC(C)O.CC(C)O.CC(C)O.CC(C)O.CC(C)O.CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-],
1GM8_SOX,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GM8_SOX_holo_aligned_predicted_protein.pdb,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O.[Ca+2],
1OPK_P16,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OPK_P16_holo_aligned_predicted_protein.pdb,CCCCCCCCCCCCCC(=O)O.Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21.OCC(O)CO,
1U1C_BAU,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1U1C_BAU_holo_aligned_predicted_protein.pdb,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1.[K+].[K+].[K+],
1T46_STI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T46_STI_holo_aligned_predicted_protein.pdb,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1.O=P([O-])([O-])[O-].O=P([O-])([O-])[O-],
1HQ2_PH2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HQ2_PH2_holo_aligned_predicted_protein.pdb,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Cl-].[Mg+2].[Mg+2],
1N2V_BDI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N2V_BDI_holo_aligned_predicted_protein.pdb,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1.[Zn+2],
1S19_MC9,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S19_MC9_holo_aligned_predicted_protein.pdb,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,
